,Name,0,1,2,3,4,5,6,7,cluster
55,콩나물,0.003746304,0.002417882,0.009882353,6.25616E-05,0.020279621,1.74672E-05,0,0.000656325,0
56,경단(깨),0.047230928,0.190909792,0.026117647,2.04747E-05,0.017061611,0.023266376,0,0.001372315,1
57,경단(콩),0.046469545,0.190421072,0.020647059,1.74414E-05,0.021405687,0.017947598,0,0.000566826,1
58,기피편,0.032520698,0.12601281,0.032058824,9.47903E-06,0.026640758,0.001816594,0,0.000387828,1
59,녹두시루떡,0.036379361,0.123672094,0.045529412,9.59278E-05,0.024991469,0.003537118,0,0.001551313,1
60,메밀전병,0.024812241,0.055611287,0.036352941,0.000238492,0.032777251,0.000541485,0.007612581,0.003550119,0
61,무지개떡,0.033851271,0.136353114,0.020764706,1.1754E-05,0.026238863,0.007851528,0,0.000477327,1
62,송편(깨),0.033138675,0.115646783,0.028941176,0.00010389,0.02197346,0.001004367,0,0.001431981,1
63,송편(콩),0.028730041,0.107158474,0.030823529,2.84371E-05,0.022132701,0.001100437,0,0.00071599,0
64,수수부꾸미,0.036648433,0.108290249,0.033705882,0.000238492,0.024739336,0.000209607,0,0.002893795,1
65,수수팥떡,0.030195151,0.110682409,0.039411765,2.23705E-05,0.022931754,0.002462882,0,0.000477327,1
66,시루떡,0.032152572,0.122283098,0.032176471,2.31288E-05,0.02634218,0.002812227,0,0.00071599,1
67,쑥떡,0.036757836,0.148905523,0.019764706,1.51665E-05,0.024106161,0.009362445,0,0.000596659,1
68,절편,0.02851715,0.113023124,0.021411765,1.06165E-05,0.025200948,6.11354E-05,2.83699E-05,0.000566826,1
69,찹쌀떡,0.04093288,0.168763022,0.019176471,5.68742E-06,0.021384834,0.015318777,0,0.000447494,1
70,간자장,0.121901242,0.345242688,0.131352941,0.000835292,0.257459716,0.010620087,0.027168876,0.02896778,1
71,굴짬뽕,0.100631283,0.297579546,0.193352941,0.000363995,0.25235545,0.001484716,0.154436102,0.004206444,3
72,기스면,0.08972945,0.230959179,0.222470588,0.000406461,0.262046445,0.000436681,0.393906152,0.006324582,3
73,김치라면,0.081608516,0.221724927,0.081176471,0.000640783,0.239962085,0.001048035,0.043169482,0.020286396,1
74,김치우동,0.073947368,0.255009389,0.091470588,0.000174414,0.272473934,0.001860262,0.013362208,0.002476134,1
75,냉김치말이국수,0.044726493,0.133755177,0.075882353,0.000181997,0.201101422,0.007248908,0.084116657,0.003281623,1
76,닭칼국수,0.098018924,0.243588754,0.248235294,0.000485326,0.201437915,0.004628821,0.090471507,0.007458234,3
77,둘깨칼국수,0.067693672,0.153818453,0.103529412,0.000625616,0.11303981,0.001222707,0.003177425,0.00447494,1
