NO,Name,N1,N2,N3,N4,N5,N6,N7,N8
4254,새우링반올림피자샵,49.6,0,5.6,0,53.7,0.1,0,0.3
4255,미니디저트피자반올림피자샵,95.8,0,1.1,0,268.7,0.8,0,16.7
4256,그릴소세지반올림피자샵,65,0,4,0,220,1,0,2.1
4257,더블에스프레소빽다방,22,0,1,0,0,0,0,0
4258,앗!메리카노(HOT)빽다방,14,0,0,0,4,0,0,0
4259,앗!메리카노(ICED)빽다방,13,0,0,0,4,0,0,0
4260,원조커피(HOT)빽다방,410,0,3,0,39,46,0,0
4261,원조커피(ICED)빽다방,393,0,2,0,39,42,0,0
4262,달달연유라떼(HOT)빽다방,240,0,8,0,70,33,0,0
4263,달달연유라떼(ICED)빽다방,285,0,9,0,84,32,0,0
4264,빽’s 라떼(HOT)빽다방,253,0,8,0,69,9,0,0
4265,빽’s 라떼(ICED)빽다방,198,0,10,0,81,10,0,0
4266,블랙펄카페라떼빽다방,349,0,5,0,68,13,0,0
4267,바닐라라떼(HOT)빽다방,351,0,9,0,136,35,0,0
4268,바닐라라떼(ICED)빽다방,433,0,9,0,144,38,0,0
4269,카페모카(HOT)빽다방,319,0,13,0,144,32,0,0
4270,카페모카(ICED)빽다방,365,0,13,0,146,36,0,0
4271,카라멜마키아또(HOT)빽다방,354,0,8,0,137,40,0,0
4272,카라멜마키아또(ICED)빽다방,382,0,9,0,148,43,0,0
4273,크리미모카라떼(HOT)빽다방,440,0,8,0,103,41,0,0
4274,크리미모카라떼(ICED)빽다방,612,0,10,0,119,49,0,0
4275,완전초코(HOT)빽다방,342,0,9,0,108,45,0,0
4276,완전초코(ICED)빽다방,389,0,10,0,126,56,0,0
4277,녹차라떼(HOT)빽다방,351,0,10,0,78,51,0,0
4278,녹차라떼(ICED)빽다방,327,0,9,0,65,33,0,0
4279,민트초코라떼(HOT)빽다방,413,0,11,0,187,58,0,0
4280,민트초코라떼(ICED)빽다방,498,0,13,0,210,43,0,0
4281,토피넛라떼(HOT)빽다방,411,0,8,0,174,19,0,0
4282,토피넛라떼(ICED)빽다방,469,0,8,0,197,16,0,0
4283,밀크티(HOT)빽다방,313,0,9,0,70,35,0,0
4284,밀크티(ICED)빽다방,353,0,9,0,77,37,0,0
4285,블랙펄라떼빽다방,282,0,5,0,64,11,0,0
4286,블랙펄밀크티빽다방,365,0,3,0,36,5,0,8
4287,깔라만시티빽다방,244,0,0,0,71,57,0,0
4288,레몬티빽다방,272,0,0,0,60,66,0,0
4289,레모네이드빽다방,246,0,0,0,55,60,0,0
4290,자몽티빽다방,281,0,1,0,15,66,0,0
4291,청포도플라워빽다방,220,0,0,0,6,52,0,0
4292,청포도에이드빽다방,234,0,0,0,8,56,0,0
4293,깔라만시에이드빽다방,215,0,1,0,81,50,0,0
4294,자몽에이드빽다방,258,0,1,0,16,61,0,0
4295,완전파인애플빽다방,192,0,1,0,5,32,0,0
4296,완전망고빽다방,241,0,2,0,7,37,0,0
4297,플레인요거트스무디빽다방,494,0,7,0,77,94,0,0
4298,딸기요거트스무디빽다방,448,0,8,0,109,45,0,0
4299,노말한소프트빽다방,333,0,4,0,70,20,0,0
4300,사라다빵빽다방,386,0,9,0,498,8,0,0
4301,소제지빵빽다방,500,0,19,0,679,1,0,0
4302,계란사라다빵빽다방,493,0,14,0,601,7,0,0
4303,완전딸기바나나(BASIC)빽다방,502,0,7,0,114,53,0,0
4304,완전딸기바나나(SOFT)빽다방,709,0,9,0,158,66,0,0
4305,완전초코바나나(BASIC)빽다방,577,0,10,0,105,34,0,0
4306,완전초코바나나(SOFT)빽다방,784,0,12,0,148,47,0,0
4307,피스타치오빽스치노(BASIC)빽다방,535,0,8,0,329,12,0,0
4308,피스타치오빽스치노(SOFT)빽다방,742,0,10,0,373,24,0,0
4309,녹차빽스치노(BASIC)빽다방,487,0,9,0,120,32,0,0
4310,녹차빽스치노(SOFT)빽다방,694,0,12,0,163,45,0,0
4311,원조빽스치노(BASIC)빽다방,593,0,9,0,103,72,0,0
4312,원조빽스치노(SOFT)빽다방,800,0,12,0,147,85,0,0
4313,민트초코 빽스치노(BASIC)빽다방,602,0,12,0,244,28,0,0
4314,민트초코 빽스치노(SOFT)빽다방,809,0,15,0,287,40,0,0
4315,레몬 유자 캐모마일 티커피빈,323,78,0,0,12,0,0,0
4316,겐마이차 그린커피빈,5,1,0,0,15,0,0,0
4317,작설커피빈,5,1,0,0,15,0,0,0
4318,프래그런트 나이트 쟈스민커피빈,5,1,0,0,15,0,0,0
4319,모로칸민트커피빈,5,1,0,0,15,0,0,0
4320,잉글리쉬브렉퍼스트커피빈,5,1,0,0,15,0,0,0
4321,살구실론커피빈,5,1,0,0,15,0,0,0
4322,파미그래네이트 블루베리커피빈,5,1,0,0,15,0,0,0
4323,얼그레이커피빈,5,1,0,0,15,0,0,0
4324,진셍 페퍼민트커피빈,5,1,0,0,15,0,0,0
4325,레몬 캐모마일커피빈,5,1,0,0,15,0,0,0
4326,아프리칸 선라이즈커피빈,5,1,0,0,15,0,0,0
4327,스웨디쉬 베리즈커피빈,5,1,0,0,15,0,0,0
4328,차이라떼커피빈,200,34,0,0,200,0,0,4
4329,잉글리쉬 브렉퍼스트 라떼커피빈,200,34,0,0,200,0,0,4
4330,모로칸 민트 라떼커피빈,190,35,0,0,230,0,0,3
4331,그린 티 라떼커피빈,290,46,0,0,380,0,0,4
4332,아이스 캐러멜 마키아토커피빈,180,30,0,0,200,0,0,3
4333,아이스 바닐라라떼커피빈,180,30,0,0,200,0,0,3
4334,아이스 모카라떼커피빈,170,31,0,0,220,0,0,2
4335,아이스 카페라떼커피빈,100,9,0,0,85,0,0,3
4336,아이스 커피커피빈,5,1,0,0,10,0,0,0
4337,헤이즐넛 아이스커피커피빈,206,24,0,0,80,0,0,7
4338,카페수아커피빈,255,36,0,0,190,0,0,2.5
4339,아이스 더블카페 라떼커피빈,105,9,0,0,90,0,0,3
4340,아이스 에스프레소커피빈,5,0,0,0,0,0,0,0
4341,콜드브루 라떼커피빈,100,31,0,0,85,0,0,3
4342,콜드브루커피빈,5,1,0,0,10,0,0,0
4343,더블카페 라떼커피빈,220,18,0,0,200,0,0,7
4344,헤이즐넛 아메리카노커피빈,211,24,0,0,80,0,0,7
4345,캐러멜 마키아토커피빈,280,46,0,0,330,0,0,4
4346,바닐라 라떼커피빈,280,45,0,0,320,0,0,0
4347,모카 라떼커피빈,270,46,0,0,350,0,0,3
4348,카페 라떼커피빈,210,18,0,0,180,0,0,7
4349,카푸치노커피빈,130,11,0,0,115,0,0,4
4350,아메리카노커피빈,0,0,0,0,20,0,0,0
4351,커피빈커피커피빈,150,2,0,0,125,0,0,5
4352,헤이즐넛 라떼커피빈,320,47,0,0,260,0,0,9
4353,플랫화이트커피빈,130,2,0,0,120,0,0,4
4354,캐러멜 아이스 블렌디드커피빈,370,6,0,0,330,0,0,7
4355,헤이즐넛 아이스 블렌디드커피빈,350,51,0,0,190,0,0,14
4356,모카 아이스 블렌디드커피빈,270,51,0,0,330,0,0,4.5
4357,바닐라 아이스 블렌디드커피빈,280,45,0,0,320,0,0,5
4358,화이트 포레스트 아이스 블렌디드커피빈,370,67,0,0,330,0,0,6
4359,블랙 포레스트 아이스 블렌디드커피빈,370,67,0,0,330,0,0,6
4360,망고 바나나 아이스 블렌디드커피빈,408,52,0,0,72,0,0,0
4361,유자 캐모마일 아이스 블렌디드커피빈,323,78,0,0,12,0,0,0
4362,후레쉬 망고 아이스 블렌디드커피빈,214,53,0,0,50,0,0,0
4363,베리베리 아이스 블렌디드커피빈,226,61,0,0,60,0,0,0
4364,그린티 아이스 블렌디드커피빈,310,45,0,0,390,0,0,6
4365,퓨어 바닐라 아이스 블렌디드커피빈,310,53,0,0,320,0,0,6
4366,퓨어 더블 초코렛 아이스 블렌디드커피빈,300,55,0,0,370,0,0,4.5
4367,커피빈 드립커피커피빈,5,0,0,0,5,0,0,0
4368,콜드 브루커피빈,5,1,0,0,10,0,0,0
4369,콜드 브루 라떼커피빈,100,31,0,0,85,0,0,3
4370,구아바주스커피빈,95,23,0,0,5,0,0,0
4371,파인클렌즈커피빈,88,21,0,0,0,0,0,0
4372,감귤당근주스커피빈,81,19,0,0,5,0,0,0
4373,수박주스커피빈,95,23,0,0,5,0,0,0
4374,토마토주스커피빈,65,15,0,0,60,0,0,0
4375,레드밸런스커피빈,90,23,0,0,35,0,0,0
4376,프룻밸런스커피빈,80,20,0,0,45,0,0,0
4377,그린밸런스커피빈,85,22,0,0,0,0,0,0
4378,슈퍼밸런스커피빈,100,25,0,0,25,0,0,0
4379,스트로베리 주스커피빈,100,25,0,0,50,0,0,0
4380,스파클링 스웨디쉬 레몬커피빈,230,77,0,0,154,0,0,0.9
4381,스파클링 망고커피빈,207,52,0,0,72,0,0,0
4382,아이스 더블 초코렛커피빈,210,33,0,0,260,0,0,6
4383,핫 더블 초코렛 커피빈,280,48,0,0,370,0,0,3
4384,핫 바닐라 커피빈,290,47,0,0,340,0,0,4
4385,생크림 크루아상커피빈,399,34,5,27,280,11,0,19
4386,블루베리 초코칩 스콘커피빈,485,67,7,21,490,24,0,13
4387,초코 후르츠 머핀커피빈,557,20,0,0,10,0,0,15
4388,오렌지 머핀커피빈,557,61,9,33,270,34,0,16
4389,크로크무슈커피빈,388,45,18,15,748,3.2,0,9
4390,크림 치즈 머핀커피빈,525,68,9,29,309,32,0,18
4391,플레인 베이글커피빈,315,63,12,1.6,398,8,0,0.4
4392,치즈 베이글커피빈,389,47,12,17,206,9,0,6
4393,쌀 블루베리 베이글커피빈,321,63,13,2,274,11,0,2
4394,햄 치즈 포카치아커피빈,191,21,11,7,526,2,0,2.1
4395,햄 치즈 잉글리쉬 머핀커피빈,186,22,11,6,536,1,0,2.7
4396,떠먹는 레드벨벳커피빈,390,34,5,26,250,22,0,11
4397,떠먹는 티라미수커피빈,341,23,6,25,200,16,0,16
4398,헤이즐넛초코케익커피빈,907,69,16,63,130,58,0,33
4399,다크초코롤커피빈,541,59,11,29,70,8,0,16
4400,시카고 치즈 케익커피빈,409,28,9,29,260,23,0,18
4401,초콜릿 무스 케익커피빈,448,34,6,32,110,22,0,21
4402,까망베르 치즈 타르트커피빈,258,27,6,14,180,14,0,9
4403,티라미수 큐브커피빈,467,39,6,31,170,28,0,20
4404,쁘띠 까망베르 치즈 케익커피빈,948,86,16,60,360,52,0,43
4405,생크림 카스테라커피빈,700,66,10,44,260,45,0,20
4406,밀크레이프커피빈,287.96,25.14,7.88,17.32,77.39,12.35,0,6.14
4407,티라미수 크레이프커피빈,304.87,24.25,7.8,19.63,89.23,13.67,0,5.51
4408,에그 베이컨 브리오쉬커피빈,400,39,16,20,980,6,0,6
4409,루꼴라&햄 페스토 샌드위치커피빈,365,37,16,17,660,7,0,4.4
4410,크랜베리 아몬드 치킨 샌드위치커피빈,365,35,18,17,760,5,0,2.9
4411,B.E.L.T 샌드위치커피빈,440,48,17,20,1010,5,0,6
4412,모짜렐라 치킨 머쉬룸 샌드위치커피빈,409,44,20,17,760,6,0,3.5
4413,매콤 치킨 치즈 샌드위치커피빈,470,50,25,19,1310,16,0,5
4414,에그 잼 사라다 샌드위치커피빈,346,43,12,14,500,2,0,3
4415,에그 햄 치즈 베이글커피빈,450,65,25,10,1010,5,0,5
4416,얼그레이 초코 마카롱커피빈,193,23,3,9.7,16.9,19,0,3.9
4417,바닐라 빈 마카롱커피빈,195,20,2.8,11,18.8,18,0,4.3
4418,솔티카라멜 마카롱커피빈,165,24,2.2,9.7,60,19,0,4.8
4419,라즈베리 마카롱커피빈,165,21.8,2.4,7.5,16.4,18.6,0,2.8
4420,솔티카라멜 다쿠아즈커피빈,204,18.7,3.6,12.8,43.6,15.2,0,5.8
4421,초코바나나 다쿠아즈커피빈,246,21.8,4.4,15.6,26.6,17.6,0,7
4422,황금 보리 초코 건빵커피빈,280,38,5,12,130,16,0,7
4423,휘낭시에커피빈,230,22,0,0,110,0,0,8
4424,베어베터 쿠키커피빈,272,36,0,0,159,0,0,7
4425,라이스 리얼 초코칩 쿠키커피빈,240,29,0,0,190,0,0,6
4426,현미 체다치즈롤커피빈,50,6,0,0,25,0,0,1
