NO,Name,N1,N2,N3,N4,N5,N6,N7,N8
1,꿩불고기,368.8,39.7,33.5,8.5,1264.31,16.9,106.18,1.9
2,닭갈비,595.61,44.9,45.9,25.8,1535.83,21.2,193.4,6
3,닭갈비,558.47,23.1,45.5,31.6,1016.94,8.5,217.67,11.3
4,닭꼬치,176.72,13.35,11.56,8.57,286.91,3.15,31.44,2.32
5,더덕구이,184,31.1,3.1,5.2,743.37,11.6,0.12,0.8
6,도미구이,397,2.1,61.1,16.5,1582.17,0,211.24,3.8
7,돼지갈비,240.32,8.1,19.5,14.4,404.66,4.5,49.34,4.7
8,병어구이,488,0.2,54.6,30.8,1567.94,0,198.51,8.9
9,불고기,395.29,7.8,34.4,25.2,560.71,7.9,68.85,6.6
10,붕장어소금구이,296.54,11.6,26,16.2,124.75,0.4,167.07,3.6
11,소양념갈비구이,989.15,26.2,60.1,71.6,1378.45,13.9,186.63,27.2
12,양념왕갈비,480.81,13.7,27.1,35.3,548.76,6.8,58.52,13
13,양념장어구이,433.35,8.8,30.77,30.56,704.64,4.18,215.24,7.1
14,임연수구이,494,3.5,53.8,29.4,1568.96,0,212.61,6.1
15,짚불구이곰장어,326.21,2.3,42.7,16.2,826.79,1.2,341.83,2.8
16,햄버그스테이크,457.7,20.76,26.96,29.65,950.22,5.33,70.28,9.41
17,황태구이,437.57,26.9,47.8,15.4,1135.33,14.2,211.58,2.4
18,훈제오리,797.14,12.08,43.06,64.07,1220.37,0.27,171,15.98
19,게국지,415.25,31.7,44.9,12.1,4047.26,10.8,388.15,2
20,곰치국,419.29,23.9,54.3,11.8,3802.06,2.8,476.47,1.4
21,굴국밥,683,88.4,42.4,17.8,1635.39,0.3,518.37,3.9
22,김치국,89,10.5,5.4,2.8,1642.08,2.9,0,0.3
23,떡만둣국,624.92,110.71,20.06,11.32,1980.19,0.16,122.42,3.44
24,만둣국,434.05,47.83,21.43,17.44,2367.99,3.05,94.52,4.24
25,맑은감자국,221,34.6,8.3,5.5,1712.29,5.2,5.46,0.2
26,매생이국,119,13.4,10,2.8,1420.3,0.4,6.62,0.6
27,무된장국,104,14.7,6.1,2.4,1741.46,5.9,0,0.3
28,미소된장국,38,2.8,2.8,1.8,517.03,0.7,0,0.2
29,바지락조개국,157,10.1,22,3.1,1596.17,1.3,89.36,0.6
30,뼈다귀해장국,714,23.4,74.6,35.7,3088.21,5.7,321.72,14.3
31,선지해장국,312,16.7,49.3,5.4,3074.53,3.9,230.52,2.7
32,소고기무국,123,7.8,14.2,4,1067.02,3.5,38.43,1.3
33,소고기미역국,151,7.7,18.1,5.3,1908.91,0,42.18,2
34,순대국,540.3,17.26,43.52,33.02,1504.04,0,246,10.98
35,시래기된장국,99,11,6.7,3.1,1523.66,1.3,0,0.3
36,올갱이국,144.26,13,13.7,4.2,2017.16,1.6,85.36,0.8
37,우거지해장국,154.38,13.5,11.9,5.9,2049.59,2.5,22.37,1.2
38,우렁된장국,245,19.2,24.6,7.7,2134.21,3.6,105.38,1.1
39,탕국,92.15,0.24,13.18,4.27,656.75,0.08,30.12,1.01
40,홍합미역국,167,11.6,19.7,4.7,2043.68,0,58.4,0.9
41,황태해장국,181.7,5.7,24.5,6.8,1533.09,1.5,150.3,1.1
42,고추잡채,256.77,26.17,10.99,12.01,828.55,2.09,39.26,2.11
43,난자완스,346.25,19.15,21.63,20.35,703.23,0.49,76.76,4.59
44,도토리묵말이,462.39,89.7,6.8,8.5,3206.03,6.3,0,1.2
45,라조기,398.99,26.23,20.66,23.49,648.52,0.15,90.58,5.15
46,물회,529.36,55.3,34.4,18.9,2095.9,20,120.26,2.8
47,생선물회,577.97,82.5,34.3,12.3,2779.74,52,101.88,2
48,소고기샤브샤브,263.75,14.7,29.1,9.8,1122.4,2.4,76.02,3.7
49,오징어순대,466.86,58.3,45.7,5.6,1258.71,0.4,517.44,1.4
50,초당순두부,522.69,15.8,49.1,29.2,1203.36,0.9,0,3.8
51,해파리냉채,91,13.4,6.2,1.4,508.77,11.4,40.33,0.3
52,고들빼기,55.53,10.93,1.58,0.61,742.43,2.84,2.98,0.07
53,열무얼갈이김치,17.68,2.61,1.07,0.33,339.9,0.46,1.03,0.04
54,미나리나물,29.53,2.24,1.02,1.83,150.33,0,0,0.25
55,취나물,74.1,3.31,1.37,6.15,281.86,0,0,0.84
56,콩나물,25.34,0.94,1.68,1.65,213.95,0.02,0,0.22
57,경단(깨),319.47,74.22,4.44,0.54,180,26.64,0,0.46
58,경단(콩),314.32,74.03,3.51,0.46,225.83,20.55,0,0.19
59,기피편,219.97,48.99,5.45,0.25,281.06,2.08,0,0.13
60,녹두시루떡,246.07,48.08,7.74,2.53,263.66,4.05,0,0.52
61,메밀전병,167.83,21.62,6.18,6.29,345.8,0.62,8.05,1.19
62,무지개떡,228.97,53.01,3.53,0.31,276.82,8.99,0,0.16
63,송편(깨),224.15,44.96,4.92,2.74,231.82,1.15,0,0.48
64,송편(콩),194.33,41.66,5.24,0.75,233.5,1.26,0,0.24
65,수수부꾸미,247.89,42.1,5.73,6.29,261,0.24,0,0.97
66,수수팥떡,204.24,43.03,6.7,0.59,241.93,2.82,0,0.16
67,시루떡,217.48,47.54,5.47,0.61,277.91,3.22,0,0.24
68,쑥떡,248.63,57.89,3.36,0.4,254.32,10.72,0,0.2
69,절편,192.89,43.94,3.64,0.28,265.87,0.07,0.03,0.19
70,찹쌀떡,276.87,65.61,3.26,0.15,225.61,17.54,0,0.15
71,간자장,824.54,134.22,22.33,22.03,2716.2,12.16,28.73,9.71
72,굴짬뽕,680.67,115.69,32.87,9.6,2662.35,1.7,163.31,1.41
73,기스면,606.93,89.79,37.82,10.72,2764.59,0.5,416.54,2.12
74,김치라면,552,86.2,13.8,16.9,2531.6,1.2,45.65,6.8
75,김치우동,500.18,99.14,15.55,4.6,2874.6,2.13,14.13,0.83
76,냉김치말이국수,302.53,52,12.9,4.8,2121.62,8.3,88.95,1.1
77,닭칼국수,663,94.7,42.2,12.8,2125.17,5.3,95.67,2.5
78,둘깨칼국수,457.88,59.8,17.6,16.5,1192.57,1.4,3.36,1.5
79,막국수,571.59,109.8,20,5.8,3260.05,9.4,43.17,1
80,삼선우동,691.66,105.9,47.94,8.48,2722.32,0.8,620.9,2.02
81,삼선자장면,803.9,126.53,33.64,18.14,2628.24,10.15,166.56,4.06
82,삼선짬뽕,662.37,101.73,39.63,10.77,2689.13,1.09,312.48,1.91
83,쌀국수,320.32,55.1,15.6,4.2,1651.58,4.3,33.6,1.4
84,열무김치국수,431,69.6,15,10.2,3007.45,18.6,15.37,0.6
85,열무냉면,525.49,97.52,20.84,5.78,3152.37,27.15,67.78,1.36
86,오일소스스파게티,646.74,89.42,19.56,23.43,1124.33,1.41,31.62,3.89
87,올갱이국수,566,111.6,11.2,8.3,3862.84,18.6,0,1.5
88,우동(일식),421.51,74.2,13.39,7.91,2390.32,2.48,25.98,1.49
89,우동(중식),648.47,85.37,29.45,21.02,3395.86,1.1,208.42,3.35
90,울면,728.86,128.18,37.46,7.37,2799.92,0.5,445.79,1.85
91,자장면,796.5,133.63,19.77,20.32,2391.58,7.8,10.76,8.52
92,짬뽕라면,689,92,21.3,26.3,2493.81,1.6,106.69,8.6
93,치즈라면,595,80,16.8,23,2113.4,0.9,103.67,9.4
94,크림소스스파게티,837.57,73.76,21.79,50.59,1030.21,9.17,126.58,25.67
95,토마토소스스파게티,642.58,93.2,24.35,19.15,1508.63,15.6,49.17,5.44
96,해물칼국수,628.26,123.9,22.8,4.61,2355.07,3.81,26.7,1.3
97,해물크림소스스파게티,917.57,86.97,30.39,49.79,1323.7,8.36,210.89,24.73
98,해물토마토소스스파게티,584.44,87.24,27.97,13.73,1533.16,13.48,159.64,3.14
99,골뱅이무침,108.79,15.69,7.08,1.97,525.52,10.46,38.35,0.26
100,노각무침,84,14.3,2.6,1.8,817.37,7.1,0,0.2
101,단무지무침,20,2.8,0.5,0.8,428.92,0.7,0,0.1
102,달래나물무침,136,23.8,4,2.8,867.04,11.2,0,0.3
103,더덕무침,216,43.4,4.3,2.8,1246.58,20.2,0.17,0.4
104,도토리묵,45.6,10.38,0.29,0.32,124.15,0.43,0,0.03
105,밴댕이무침,600.01,46,29.8,33,1027.23,27,101.51,4.6
106,서대회무침,315.21,45.9,22.6,4.6,1198.9,22.3,67.71,0.5
107,쑥갓나물무침,96,6.6,4.5,5.7,709.99,0.3,0.05,0.7
108,우거지나물무침,129,8.7,4.5,8.5,772.52,1.5,1.31,1
109,쥐치채,55.92,10.89,2.75,0.15,296.34,4.55,8.57,0.19
110,청포묵무침,149,22.7,2.9,5.2,724.02,1.8,0,0.8
111,탕평채,97.5,12.26,3.55,3.81,260.4,0.39,47.24,0.73
112,홍어무침,198.94,25.95,17.85,2.63,802.04,14.46,57.03,0.36
113,고추장불고기 삼각김밥,165.29,34.11,3.66,1.58,342.92,0.21,3.51,0.45
114,곤드레나물밥,521.83,98.9,10.3,9.5,90.62,0,0,0.9
115,국밥,418.35,58.6,27.6,8.2,2301.55,0.4,47.81,2.7
116,농어초밥,396.74,78.75,17.43,1.34,1035.04,13.01,26.5,0.65
117,돼지국밥,911.4,74.7,66.4,38.6,1096.58,0,142.55,8.4
118,류산슬덮밥,574.99,73.95,26.96,19.04,1579.35,0.42,120.87,3.39
119,멍게비빔밥,547.21,90.7,16.6,13.1,1144.8,16.7,21.9,2.4
120,멸치주먹밥,312,54.3,9,6.6,496.21,0.9,42.45,1.1
121,묵밥,642.16,128.6,14.8,7.7,2075.5,15.1,42.65,1.5
122,문어초밥,392.23,81.78,14.61,0.74,1200.86,13.38,70.08,0.35
123,비빔밥,691.62,98.7,24.6,22,1119.66,18.3,95.42,3.9
124,삼선볶음밥,686.11,85.75,26.24,26.46,1213.56,1.58,326.52,6.33
125,새우초밥,387.67,78.42,16.8,0.75,1110.29,11.65,72.65,0.55
126,새우튀김롤,606.5,96.28,14.47,18.17,1391.43,11.14,55.87,3.41
127,샐러드김밥,405.95,61.45,9.62,13.52,911.18,3.42,84.58,2.79
128,생선초밥(광어),453.78,77.55,27.07,3.92,808.75,7.7,46.74,1.06
129,생선초밥(모듬),461.97,76.43,25.42,6.06,968.94,8.65,70.87,1.51
130,소고기국밥,330.53,42.6,21.8,8.1,1786.31,2.8,41.85,2.3
131,소고기김밥,400.61,62.52,15.98,9.63,1061.19,0.84,93.09,2.53
132,송이덮밥,581.81,95.6,18.21,14.06,1678.01,2.27,48.2,2.79
133,숯불갈비 삼각김밥,161.24,32.55,4,1.67,358.36,0.16,4.04,0.53
134,약초비빔밥,511.8,80.2,11.9,15.9,971.61,2.9,0,2.4
135,연어롤,510.19,74.32,18.57,15.4,1211.9,8.47,61.97,2.83
136,연어초밥,447.32,71.04,18.88,9.74,1064.38,12.88,32.05,1.84
137,오곡밥,388.82,82.32,11.95,1.3,113.9,0.17,0,0.42
138,자장밥,741.66,120.06,15.24,22.28,1560.38,5.37,26.43,8.56
139,잡탕밥,777.44,104.94,44.12,20.13,2109.52,0.48,329.85,4.07
140,장어덮밥,716.54,97.35,30.09,22.98,920.77,5.59,234.56,5.18
141,장어초밥,486.26,80.68,16.52,10.83,1270.91,13.67,102.77,2.91
142,참치덮밥,679.1,102.93,29.2,16.73,1618.74,2.98,115.79,3.41
143,참치마요네즈 삼각김밥,172.4,31.95,3.94,3.2,282.1,0.02,4.41,0.6
144,충무김밥,583.93,109.16,23.42,5.96,1294.27,17.19,156.85,1.1
145,캘리포니아롤,487.64,89.23,12.33,9.05,1295.88,8.9,65.96,2.14
146,한치초밥,374.18,77.92,13.71,0.85,1199.31,13.13,100.06,0.45
147,해물덮밥,771.93,100.45,42.04,22.44,1802.68,1.19,286.24,5.41
148,해물볶음밥,705.22,90.46,25.1,27,1074.35,1.22,241.8,5.38
149,회덮밥,683.02,103.3,30.21,16.55,744.27,10.93,88.65,2.9
150,깻잎나물볶음,206,11.5,7.5,14.4,1042.68,0.6,0,1.7
151,돼지고기볶음,350.67,18.21,22.96,20.67,1051.76,8.2,57.87,5.12
152,돼지껍데기볶음,352,24.5,25.8,16.7,779.81,5.5,47.75,4.9
153,두부김치,288.21,14.08,19.47,17.11,989.69,1.49,13.92,3.17
154,머위나물볶음,108,7.6,3.5,7,718.63,1.8,0,0.8
155,멸치풋고추볶음,52.38,3.41,4.65,2.24,275.54,1.43,36.6,0.39
156,소세지볶음,471,31.8,18.8,29.9,1436.06,8.9,60.26,8.8
157,순대볶음,582,76.7,20.7,21.3,1500.35,5.4,141.72,5.1
158,양송이버섯볶음,136,11,4.5,8.3,515.17,1.2,0,1.4
159,오삼불고기,363,20.5,25.6,19.9,885.09,7.6,184.46,5.2
160,주꾸미볶음,211.41,22.82,18.33,5.2,918.86,5.06,200.76,0.61
161,표고버섯볶음,142,15.8,4.5,6.7,574.8,2.6,0,0.8
162,해물볶음,419.06,32.2,38.2,15.3,1755.16,7.4,329.59,2.1
163,곰보빵,277.34,42.16,6.31,9.27,202.25,11.73,23.59,4.63
164,만주,222.49,46.8,5.13,1.64,118.19,22.45,15.67,0.91
165,버터크림빵,229.96,27.74,4.91,11.04,191.18,7.19,17.81,8.44
166,불고기피자,505,61.2,27.4,16.7,916.87,9.2,45.7,9.3
167,참치샌드위치,555,36.5,23.3,35.1,915.59,10.1,57.86,7.1
168,찹쌀도우넛,207.05,39.95,3.53,3.68,242.99,12.13,1.16,1.95
169,채소고로케,300.65,31.19,7.13,16.38,403.33,3.37,41.89,3.59
170,초콜릿케이크,420.24,43.6,5.31,24.96,170,23.13,50.84,14.39
171,치즈케이크,329.14,28.64,7.23,20.63,200.67,15.28,126.78,10.99
172,치즈피자,553,71.2,31.4,15.8,949.96,6.8,48.04,11.5
173,페이스트리빵,319.59,32.52,5.99,18.4,295.79,5.75,16.95,12.07
174,페퍼로니피자,532,70.3,29.4,14.8,945.22,7.5,41.73,10.9
175,포테이토피자,628,71.6,28,25.5,999.93,8.5,48.95,10.3
176,수정과,133,20.34,0.6,5.47,9.72,20.69,0,0.06
177,식혜,130.14,24.32,2.3,2.63,3.38,17.04,0,0.07
178,간장마늘쫑장아찌,30,5.4,1,0.5,813.64,3.9,0,0
179,고추장마늘쫑장아찌,55,10.5,1.3,0.9,707.34,5.6,0,0.1
180,매실장아찌,72.88,17.43,0.5,0.13,337.86,11.45,0,0.02
181,무장아찌,23.92,5.03,0.44,0.23,879.81,2.88,0.04,0.01
182,계적,488.08,0,57.72,30.43,210.11,0,169.21,8.08
183,낙지꼬지,75.35,2.83,13.14,1.28,207.07,0,133.75,0.14
184,돔베기적,159.49,0,30.08,7.42,451.25,0,64.23,0.6
185,소고기산적,453.07,7.33,48.41,25.57,1392.83,0,134.83,7.05
186,소라산적,120.1,6.45,17.92,2.51,396.68,0.85,100.34,0.38
187,오징어산적,101.71,3.6,17.37,1.98,477.11,0.92,234.25,0.27
188,홍어적,89.15,0,23.59,0.66,323.53,0.28,96.77,0.12
189,홍합산적,156.66,10.58,17.78,4.8,719.72,3.34,60.71,0.83
190,가자미전,230.28,6.91,25.76,11.06,819.37,0.3,176.27,2.24
191,고추전,274.69,17.01,12.91,17.22,362.21,2.17,78.81,3.52
192,굴전,195,14.5,10.6,10.5,325.7,1.3,96.88,2.1
193,깻잎전,361.1,14.54,17.74,25.78,480.15,1.06,131.8,5.43
194,녹두빈대떡,207.94,20.93,7.94,10.27,232.05,0.1,12.48,2.26
195,동그랑땡(육원전),309.2,12.68,19.62,20,553.09,0.98,103.27,4.66
196,동태전,268.05,10.54,22.64,15.04,702.16,0.22,178.76,3.16
197,두부전,254.64,7.5,20.46,15.87,317.15,0.03,3.28,2.01
198,미나리전,226.41,34.23,5.24,7.62,248.7,1.74,11.89,1.23
199,배추전,240.75,35.52,5.17,8.67,326.83,5.02,7.23,1.37
200,버섯전,240.69,16.19,10.52,14.87,313.76,2.74,100.1,2.29
201,야채전,194,21.6,5.4,9.5,321.52,2.4,43.15,2.1
202,파전,292.8,34.81,6.83,14.03,345.96,0.79,46.14,2.26
203,햄부침,244,11.3,11.3,17.1,715.66,1,72.11,4.4
204,호박부침개,129,10.1,3.9,8.1,174.33,3.6,52.48,1.7
205,호박전,208.1,16.1,6.48,13.09,276.95,2.85,92.52,2.34
206,화양적,272.65,21.35,13.58,14.77,797.03,1.21,123.25,3.82
207,가자미조림,297.98,21.5,37.1,7.1,1692.83,10.5,227.98,1.3
208,고추조림,111,13.4,3.3,4.9,779.1,7.1,7.09,0.7
209,동태조림,276,17.4,40.8,4.7,1391.69,10.2,218.45,1.1
210,돼지고기메추리알장조림,63.49,3.37,8.34,1.85,582.99,1.27,47.64,0.44
211,북어조림,181.86,17.14,20.83,3.33,765.95,8.2,99.63,0.67
212,소고기메추리알장조림,60.65,2.88,8.14,1.84,602.12,0.71,41.52,0.45
213,조기조림,384,12.8,41.1,18.8,1771.22,4.5,228.18,5
214,게살죽,564.83,107.35,17.9,7.09,1453.82,0.17,50.16,2.11
215,깨죽,515.35,79.31,13.66,15.94,1160.19,3.59,0,2.83
216,백합죽,455.28,84.7,16.5,5.6,996.8,0,32.1,1.3
217,소고기버섯죽,578.28,109.03,18.75,7.47,1261.8,0.26,26.08,2.72
218,어죽,552.06,100.8,20.4,7.5,2105.53,9.8,35.47,1.7
219,잣죽,874.48,155.28,19.18,19.63,878.81,2.36,0,1.99
220,참치죽,659.6,104.57,24.19,16.06,1342.4,1.36,39.96,1.81
221,고등어찌개,601.62,25.6,48.9,33.7,2584.06,7.4,156.06,7.1
222,김치찌개,243.03,11.93,15.07,15,1962.14,3.02,25.18,2.76
223,꽁치찌개,355,12.2,24,23.3,1296.4,5.9,63.32,4.9
224,두부전골,315.16,17.1,25.6,16.1,1650.77,3.5,8.85,2.4
225,버섯찌개,167.56,15.4,14.7,5.2,1293.87,4.4,16.55,1.3
226,부대찌개,399.5,39.7,18.4,18.6,2321.9,6.2,52.54,5.4
227,새우젓두부찌개,166,7.2,16.2,8.1,1123.08,1.7,10.71,1.6
228,소곱창전골,529,29.2,41.6,27.3,1779.63,2.3,453.19,8.3
229,햄김치찌개,189,12.7,11.1,10.4,1583.05,3.6,29.12,3.7
230,호박찌개,95,12.2,5.6,2.6,1024.11,5.8,9.26,0.4
231,대구찜,376.42,24.7,51.7,7.9,1898.67,5.7,263.32,1.1
232,도미찜,125.51,0.54,23,3.48,839.96,0,99.01,0.91
233,동태찜,394.32,25.8,50.9,9.7,1985.6,5.7,284.22,1.6
234,돼지등갈비찜,961.04,57.4,72.1,49.2,2395.17,24.1,199.57,16.1
235,돼지머리고기,650,3.5,42.4,52,333.64,0.1,171.1,15.2
236,매운갈비찜,517.44,23.7,61.3,19.7,1138.51,10.7,163.29,8
237,문어숙회,66.91,0.73,14.86,0.5,208.33,0,140.11,0.12
238,민어찜,136.88,0,21.47,5.91,1089.43,0,97.77,1.67
239,병어찜,179.69,0.16,18.86,11.51,650.98,0,71.92,3.59
240,북어찜,235,18,28.1,5.7,900.98,6.4,153.1,0.9
241,붕어찜,835.6,71.6,54.3,36.9,3952.03,16.2,186.23,5.8
242,소갈비찜,494.6,13.14,49.86,26.96,753.63,4.32,141.48,10.33
243,순대 ,542.42,58.36,19.56,25.64,1019.19,3.5,19.22,7.3
244,아구찜,310.87,17.47,48.3,5.31,1406.2,0.69,389.13,0.86
245,아구찜,492.32,43.1,65.4,6.5,3425.72,8.2,420.21,1.1
246,안동찜닭,1364.21,139.5,114.2,38.8,5462.32,66.8,450.42,10.3
247,전어찜,278.22,0.6,17.28,22.97,447.4,0,97.88,6.8
248,조기찜,182.12,1.64,20.06,10.59,602.03,0,138.43,2.85
249,참꼬막,90.79,4.59,12.47,2.5,234.16,0,65.03,0.38
250,한방오리백숙,469.53,3.36,68.79,20.1,276.43,0.35,372.07,6.39
251,해물찜,400.08,35.4,42.6,9.8,2137.21,5.5,419.16,1.5
252,홍어찜,202.67,1.22,47.12,1.03,644.96,1.22,235.12,0.34
253,갈낙탕,261.77,0.8,35.8,12.8,847.97,1.3,209.08,5.8
254,곰탕,183.25,18.1,19.4,3.7,716.36,0.5,50.41,1.5
255,광어매운탕,419.79,9.13,58.42,16.62,1799.02,1.42,375.05,3.04
256,낙지탕,187.8,10.4,29.4,3.2,1704.69,1.9,292.42,0.4
257,대구매운탕,361.75,16.84,57.36,7.21,1983.9,1.09,516.74,0.97
258,대구지리탕,262.02,9.9,41.6,6.2,1476.25,1.5,283.08,1.1
259,메기매운탕,400,48.6,28.6,10.2,1859.96,5.7,137.36,2.9
260,복지리탕,232.05,10.3,41.7,2.7,1349.98,1.4,209.78,0.4
261,소탕,86.37,1.9,7.66,5.35,353.59,0.03,0,0.58
262,아구탕,246.07,12.8,37.8,4.9,1863.34,1.8,318.93,0.8
263,어탕,85.87,1.82,12.7,3.09,485.08,0,52.57,0.44
264,연포탕,541.64,20.19,94.9,9.03,2337.46,0.23,1057.46,1.75
265,우럭매운탕,406.82,11.24,52.15,17.03,1773.88,1.08,362.77,2.97
266,육탕,87.63,0.35,12.66,3.95,356.94,0,43.79,1.71
267,전복탕,196.85,15.8,26.8,3,1774.4,1.3,291.38,0.6
268,조기매운탕,384.38,17.3,35.1,19.4,2272.92,4.3,274.17,4.8
269,짱뚱어탕,188.77,16.6,11.5,8.5,2050.9,2.4,22.22,0.9
270,추어탕,316.72,26.8,22.7,13.2,2635.78,0,90.31,1.9
271,해물탕,267.81,16.6,39.8,4.7,2046.24,0.8,469.49,0.8
272,고구마맛탕,491,94.6,3.3,11,76.93,38.7,0,1.9
273,고구마튀김,252.96,33.8,2.72,11.87,148.41,7.72,20.84,1.74
274,고추튀김,202,14.6,7.6,12.6,249.15,2.3,35.91,2.7
275,닭튀김,903,48.8,65.2,49.7,1244.48,1.5,177.93,13
276,등심돈가스,623.83,38.49,32.99,37.54,574.08,3.66,98.16,9.12
277,모래집튀김,468.37,29.1,28.1,26.6,322.44,1.8,251.91,4.1
278,미꾸라지튀김,387.49,28.85,10.89,25.39,324.47,0.3,50.15,3.89
279,생선까스,653.44,46.56,24.33,41.1,788.62,1.96,72.72,7.96
280,안심돈가스,651.75,34.25,33.28,42.4,551.55,2.77,105.47,8.55
281,양념치킨,552,42.3,35.5,26.8,805.49,12.5,137.79,5.4
282,쥐포튀김,356.91,42.5,9.62,16.49,717.02,7.96,28.7,2.29
283,치즈돈가스,755.37,41.76,42.02,46.69,870.77,3.57,98.81,13.59
284,치킨까스,593,44.02,27.91,33.92,779.27,4.15,72.97,8.42
285,대구포,140.84,2.33,31.97,0.4,3875.95,0,107.15,0.17
286,북어포,66.46,0.32,15.42,0.39,128.99,0.22,85.02,0.13
287,매작과,123.86,19.83,2.25,3.95,29.83,4.93,10.03,0.7
288,산자,109.71,24.65,0.69,0.93,6.86,9.4,0,0.03
289,송화다식,110.83,22.19,2.49,1.34,4.04,8,0,0.27
290,약과,119.73,25.47,1.26,1.43,17.19,5.07,0,0.37
291,유과,127.09,22.27,0.84,3.85,6.84,7.24,0,0.41
292,글램핑 바비큐(오리지널 L)도미노피자,410,0,17,0,744,10,0,7
293,글램핑 바비큐(나폴리M)도미노피자,328,0,15,0,644,8,0,6
294,글램핑 바비큐(나폴리L)도미노피자,312,0,16,0,734,10,0,7
295,글램핑 바비큐(씬 M)도미노피자,266,0,13,0,596,8,0,5
296,글램핑 바비큐(씬 L)도미노피자,273,0,13,0,591,9,0,7
297,글램핑 바비큐(슈퍼시드 함유 도우M)도미노피자,485,0,24,0,1006,14,0,13
298,글램핑 바비큐(슈퍼시드 함유 도우L)도미노피자,392,0,19,0,741,11,0,6
299,글램핑 바비큐 더블치즈엣지(오리지널 M)도미노피자,330,0,16,0,611,10,0,6
300,글램핑 바비큐 더블치즈엣지(오리지널 L)도미노피자,489,0,25,0,1071,11,0,10
301,더블크러스트 이베리코(더블 크러스트 L)도미노피자,387,0,19,0,844,9,0,7
302,더블크러스트 이베리코(더블 크러스트 M)도미노피자,345,0,12,0,465,10,0,7
303,리얼불고기(오리지널 L)도미노피자,420,0,14,0,564,14,0,10
304,리얼불고기(오리지널 M)도미노피자,280,0,13,0,520,5,0,4
305,리얼불고기(나폴리L)도미노피자,334,0,16,0,541,5,0,4
306,리얼불고기(나폴리M)도미노피자,430,0,23,0,946,8,0,7
307,리얼불고기(씬 L)도미노피자,365,0,20,0,676,6,0,6
308,리얼불고기(씬 M)도미노피자,396,0,22,0,838,6,0,9
309,리얼불고기(슈퍼시드 함유 도우L)도미노피자,313,0,15,0,597,5,0,8
310,리얼불고기(슈퍼시드 함유 도우M)도미노피자,292,0,14,0,561,6,0,4
311,리얼불고기 더블치즈엣지(오리지널 L)도미노피자,344,0,17,0,544,7,0,5
312,리얼불고기 더블치즈엣지(오리지널 M)도미노피자,350,0,18,0,669,4,0,6
313,문어밤 슈림프(오리지널 L)도미노피자,428,0,21,0,856,5,0,8
314,문어밤 슈림프(오리지널 M)도미노피자,280,0,15,0,600,7,0,3
315,문어밤 슈림프(나폴리L)도미노피자,323,0,18,0,708,7,0,4
316,문어밤 슈림프(나폴리M)도미노피자,430,0,22,0,1078,11,0,6
317,문어밤 슈림프(씬 L)도미노피자,254,0,15,0,596,7,0,4
318,문어밤 슈림프(씬 M)도미노피자,389,0,20,0,912,11,0,9
319,문어밤 슈림프(슈퍼시드 함유 도우L)도미노피자,333,0,19,0,794,8,0,7
320,문어밤 슈림프(슈퍼시드 함유 도우M)도미노피자,280,0,16,0,608,9,0,4
321,문어밤 슈림프 더블치즈엣지(오리지널 L)도미노피자,322,0,17,0,682,10,0,4
322,문어밤 슈림프 더블치즈엣지(오리지널 M)도미노피자,347,0,18,0,784,6,0,7
323,베스트 콰트로(오리지널 L)도미노피자,460,0,25,0,1024,8,0,9
324,베스트 콰트로(오리지널 M)도미노피자,312,0,13,0,598,6,0,5
325,베스트 콰트로(나폴리L)도미노피자,387,0,18,0,704,8,0,6
326,베스트 콰트로(나폴리M)도미노피자,259,0,12,0,499,5,0,5
327,베스트 콰트로(씬 L)도미노피자,306,0,15,0,698,7,0,6
328,베스트 콰트로(씬 M)도미노피자,457,0,19,0,868,9,0,11
329,베스트 콰트로(슈퍼시드 함유 도우L)도미노피자,274,0,12,0,540,6,0,7
330,베스트 콰트로(슈퍼시드 함유 도우M)도미노피자,322,0,13,0,517,12,0,5
331,베스트 콰트로 더블치즈엣지(오리지널 L)도미노피자,393,0,17,0,636,13,0,6
332,베스트 콰트로 더블치즈엣지(오리지널 M)도미노피자,384,0,19,0,732,7,0,8
333,베이컨체더치즈(오리지널 L)도미노피자,455,0,23,0,907,7,0,9
334,베이컨체더치즈(오리지널 M)도미노피자,311,0,14,0,399,4,0,6
335,베이컨체더치즈(나폴리L)도미노피자,356,0,18,0,529,5,0,8
336,베이컨체더치즈(나폴리M)도미노피자,465,0,24,0,696,5,0,11
337,베이컨체더치즈(씬 L)도미노피자,382,0,21,0,606,5,0,9
338,베이컨체더치즈(씬 M)도미노피자,437,0,22,0,671,4,0,14
339,베이컨체더치즈(슈퍼시드 함유 도우L)도미노피자,377,0,19,0,525,4,0,12
340,베이컨체더치즈(슈퍼시드 함유 도우M)도미노피자,307,0,14,0,455,6,0,6
341,베이컨체더치즈 더블치즈엣지(오리지널 L)도미노피자,355,0,17,0,500,7,0,7
342,베이컨체더치즈 더블치즈엣지(오리지널 M)도미노피자,364,0,18,0,508,4,0,9
343,불고기(오리지널 L)도미노피자,436,0,21,0,624,5,0,11
344,불고기(오리지널 M)도미노피자,291,0,15,0,406,6,0,5
345,불고기(나폴리L)도미노피자,319,0,16,0,441,6,0,5
346,불고기(나폴리M)도미노피자,421,0,2,0,696,7,0,9
347,불고기(씬 L)도미노피자,250,0,14,0,388,4,0,5
348,불고기(씬 M)도미노피자,394,0,22,0,649,8,0,10
