,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,식품명,지역 / 제조사,,1회제공량,단위,에너지(㎉),탄수화물(g),단백질(g),지방(g),나트륨(㎎),총당류(g),콜레스테롤(㎎),총 포화 지방산(g),총내용량(g),총내용량(mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,카페인(㎎),,
15,짚불구이곰장어,,짚불구이곰장어,200.00 ,g,326.21 ,2.30 ,42.70 ,16.20 ,826.79 ,1.20 ,341.83 ,2.80 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
16,햄버그스테이크,,햄버그스테이크,200.00 ,g,457.70 ,20.76 ,26.96 ,29.65 ,950.22 ,5.33 ,70.28 ,9.41 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
17,황태구이,,황태구이,200.00 ,g,437.57 ,26.90 ,47.80 ,15.40 ,1135.33 ,14.20 ,211.58 ,2.40 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
18,훈제오리,,훈제오리,250.00 ,g,797.14 ,12.08 ,43.06 ,64.07 ,1220.37 ,0.27 ,171.00 ,15.98 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
19,게국지,,게국지,1100.00 ,g,415.25 ,31.70 ,44.90 ,12.10 ,4047.26 ,10.80 ,388.15 ,2.00 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
20,곰치국,,곰치국,1000.00 ,g,419.29 ,23.90 ,54.30 ,11.80 ,3802.06 ,2.80 ,476.47 ,1.40 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
21,굴국밥,,굴국밥,650.00 ,g,683.00 ,88.40 ,42.40 ,17.80 ,1635.39 ,0.30 ,518.37 ,3.90 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
22,김치국,,김치국,450.00 ,g,89.00 ,10.50 ,5.40 ,2.80 ,1642.08 ,2.90 ,0.00 ,0.30 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
23,떡만둣국,,떡만둣국,700.00 ,g,624.92 ,110.71 ,20.06 ,11.32 ,1980.19 ,0.16 ,122.42 ,3.44 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
24,만둣국,,만둣국,700.00 ,g,434.05 ,47.83 ,21.43 ,17.44 ,2367.99 ,3.05 ,94.52 ,4.24 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
